[2025-12-24T13:48:51.691+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-24T13:48:51.758+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-24T13:45:00+00:00 [queued]>
[2025-12-24T13:48:51.776+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-24T13:45:00+00:00 [queued]>
[2025-12-24T13:48:51.778+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-24T13:48:51.804+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-12-24 13:45:00+00:00
[2025-12-24T13:48:51.835+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-12-24T13:45:00+00:00', '--job-id', '152', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp7bn4u59z']
[2025-12-24T13:48:51.842+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=4055) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-24T13:48:51.844+0000] {standard_task_runner.py:91} INFO - Job 152: Subtask load_snowflake
[2025-12-24T13:48:51.844+0000] {standard_task_runner.py:64} INFO - Started process 4069 to run task
[2025-12-24T13:48:51.990+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-24T13:45:00+00:00 [running]> on host 31fa77be4c89
[2025-12-24T13:48:52.208+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-24T13:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-24T13:45:00+00:00'
[2025-12-24T13:48:52.210+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-24T13:48:52.264+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-24T13:48:52.267+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-12-24T13:48:54.809+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583258.json to Snowflake stage
[2025-12-24T13:48:55.214+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583273.json to Snowflake stage
[2025-12-24T13:48:55.623+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583286.json to Snowflake stage
[2025-12-24T13:48:56.037+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583299.json to Snowflake stage
[2025-12-24T13:48:56.357+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583313.json to Snowflake stage
[2025-12-24T13:48:56.749+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583326.json to Snowflake stage
[2025-12-24T13:48:57.118+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583339.json to Snowflake stage
[2025-12-24T13:48:57.569+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583352.json to Snowflake stage
[2025-12-24T13:48:57.979+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583365.json to Snowflake stage
[2025-12-24T13:48:58.388+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583378.json to Snowflake stage
[2025-12-24T13:48:58.799+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583391.json to Snowflake stage
[2025-12-24T13:48:59.207+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583405.json to Snowflake stage
[2025-12-24T13:48:59.618+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583419.json to Snowflake stage
[2025-12-24T13:49:00.026+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583434.json to Snowflake stage
[2025-12-24T13:49:00.392+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583447.json to Snowflake stage
[2025-12-24T13:49:00.847+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583459.json to Snowflake stage
[2025-12-24T13:49:01.257+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583472.json to Snowflake stage
[2025-12-24T13:49:01.583+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583485.json to Snowflake stage
[2025-12-24T13:49:01.978+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583498.json to Snowflake stage
[2025-12-24T13:49:02.384+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583511.json to Snowflake stage
[2025-12-24T13:49:02.774+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583524.json to Snowflake stage
[2025-12-24T13:49:03.100+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583538.json to Snowflake stage
[2025-12-24T13:49:03.511+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583551.json to Snowflake stage
[2025-12-24T13:49:03.921+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583564.json to Snowflake stage
[2025-12-24T13:49:04.237+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583577.json to Snowflake stage
[2025-12-24T13:49:04.747+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583592.json to Snowflake stage
[2025-12-24T13:49:05.092+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766583607.json to Snowflake stage
