[2025-12-23T12:59:16.193+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-23T12:59:16.275+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T12:58:00+00:00 [queued]>
[2025-12-23T12:59:16.291+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T12:58:00+00:00 [queued]>
[2025-12-23T12:59:16.293+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-23T12:59:16.321+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-12-23 12:58:00+00:00
[2025-12-23T12:59:16.349+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-12-23T12:58:00+00:00', '--job-id', '90', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpx1fglizz']
[2025-12-23T12:59:16.355+0000] {standard_task_runner.py:91} INFO - Job 90: Subtask download_minio
[2025-12-23T12:59:16.359+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=47547) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-23T12:59:16.361+0000] {standard_task_runner.py:64} INFO - Started process 47561 to run task
[2025-12-23T12:59:16.488+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T12:58:00+00:00 [running]> on host 5b5bed255d0d
[2025-12-23T12:59:16.704+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-23T12:58:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-23T12:58:00+00:00'
[2025-12-23T12:59:16.710+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-23T12:59:18.337+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488206.json -> /tmp/minio_downloads/1766488206.json
[2025-12-23T12:59:18.356+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488217.json -> /tmp/minio_downloads/1766488217.json
[2025-12-23T12:59:18.372+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488228.json -> /tmp/minio_downloads/1766488228.json
[2025-12-23T12:59:18.389+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488241.json -> /tmp/minio_downloads/1766488241.json
[2025-12-23T12:59:18.406+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488252.json -> /tmp/minio_downloads/1766488252.json
[2025-12-23T12:59:18.424+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488263.json -> /tmp/minio_downloads/1766488263.json
[2025-12-23T12:59:18.442+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488274.json -> /tmp/minio_downloads/1766488274.json
