[2025-12-23T11:59:15.987+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-23T11:59:16.071+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T11:57:00+00:00 [queued]>
[2025-12-23T11:59:16.084+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T11:57:00+00:00 [queued]>
[2025-12-23T11:59:16.085+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-23T11:59:16.110+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-12-23 11:57:00+00:00
[2025-12-23T11:59:16.133+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-12-23T11:57:00+00:00', '--job-id', '72', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpoy4q3ois']
[2025-12-23T11:59:16.139+0000] {standard_task_runner.py:91} INFO - Job 72: Subtask download_minio
[2025-12-23T11:59:16.140+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=20074) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-23T11:59:16.141+0000] {standard_task_runner.py:64} INFO - Started process 20088 to run task
[2025-12-23T11:59:16.304+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T11:57:00+00:00 [running]> on host 5b5bed255d0d
[2025-12-23T11:59:16.513+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-23T11:57:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-23T11:57:00+00:00'
[2025-12-23T11:59:16.516+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-23T11:59:18.646+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488206.json -> /tmp/minio_downloads/1766488206.json
[2025-12-23T11:59:18.675+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488217.json -> /tmp/minio_downloads/1766488217.json
[2025-12-23T11:59:18.697+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488228.json -> /tmp/minio_downloads/1766488228.json
[2025-12-23T11:59:18.723+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488241.json -> /tmp/minio_downloads/1766488241.json
[2025-12-23T11:59:18.742+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488252.json -> /tmp/minio_downloads/1766488252.json
[2025-12-23T11:59:18.757+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488263.json -> /tmp/minio_downloads/1766488263.json
[2025-12-23T11:59:18.774+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488274.json -> /tmp/minio_downloads/1766488274.json
[2025-12-23T11:59:18.792+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488286.json -> /tmp/minio_downloads/1766488286.json
[2025-12-23T11:59:18.811+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488297.json -> /tmp/minio_downloads/1766488297.json
[2025-12-23T11:59:18.829+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488308.json -> /tmp/minio_downloads/1766488308.json
[2025-12-23T11:59:18.855+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766488319.json -> /tmp/minio_downloads/1766488319.json
