[2025-12-23T08:10:48.855+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-23T08:10:49.046+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T08:09:00+00:00 [queued]>
[2025-12-23T08:10:49.059+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T08:09:00+00:00 [queued]>
[2025-12-23T08:10:49.060+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-23T08:10:49.082+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-12-23 08:09:00+00:00
[2025-12-23T08:10:49.114+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-12-23T08:09:00+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpj70nwwk3']
[2025-12-23T08:10:49.120+0000] {standard_task_runner.py:91} INFO - Job 9: Subtask download_minio
[2025-12-23T08:10:49.120+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=6731) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-23T08:10:49.122+0000] {standard_task_runner.py:64} INFO - Started process 6745 to run task
[2025-12-23T08:10:49.248+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T08:09:00+00:00 [running]> on host f22d932714c9
[2025-12-23T08:10:49.452+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-23T08:09:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-23T08:09:00+00:00'
[2025-12-23T08:10:49.455+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-23T08:10:54.365+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471089.json -> /tmp/minio_downloads/1766471089.json
[2025-12-23T08:10:54.440+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471102.json -> /tmp/minio_downloads/1766471102.json
[2025-12-23T08:10:54.495+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471114.json -> /tmp/minio_downloads/1766471114.json
[2025-12-23T08:10:54.552+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471126.json -> /tmp/minio_downloads/1766471126.json
