[2025-12-26T08:17:27.259+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-26T08:17:27.329+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T07:07:00+00:00 [queued]>
[2025-12-26T08:17:27.344+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T07:07:00+00:00 [queued]>
[2025-12-26T08:17:27.345+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2025-12-26T08:17:27.365+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-12-26 07:07:00+00:00
[2025-12-26T08:17:27.384+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-12-26T07:07:00+00:00', '--job-id', '69', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp7bepww1i']
[2025-12-26T08:17:27.389+0000] {standard_task_runner.py:91} INFO - Job 69: Subtask load_snowflake
[2025-12-26T08:17:27.391+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=2263) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-26T08:17:27.392+0000] {standard_task_runner.py:64} INFO - Started process 2280 to run task
[2025-12-26T08:17:27.506+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T07:07:00+00:00 [running]> on host 9ba124033e2e
[2025-12-26T08:17:27.666+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-26T07:07:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-26T07:07:00+00:00'
[2025-12-26T08:17:27.669+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-26T08:17:27.713+0000] {connection.py:610} INFO - Snowflake Connector for Python Version: 4.1.1, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-26T08:17:27.716+0000] {connection.py:1693} INFO - Connecting to GLOBAL Snowflake domain
[2025-12-26T08:17:35.446+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728889.json to Snowflake stage
[2025-12-26T08:17:35.703+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728900.json to Snowflake stage
[2025-12-26T08:17:36.130+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728911.json to Snowflake stage
[2025-12-26T08:17:36.388+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728923.json to Snowflake stage
[2025-12-26T08:17:36.643+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728935.json to Snowflake stage
[2025-12-26T08:17:36.964+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728947.json to Snowflake stage
[2025-12-26T08:17:37.312+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728960.json to Snowflake stage
[2025-12-26T08:17:37.635+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728972.json to Snowflake stage
[2025-12-26T08:17:37.900+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728984.json to Snowflake stage
[2025-12-26T08:17:38.178+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728995.json to Snowflake stage
[2025-12-26T08:17:38.436+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729007.json to Snowflake stage
[2025-12-26T08:17:38.695+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729020.json to Snowflake stage
[2025-12-26T08:17:38.963+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729032.json to Snowflake stage
[2025-12-26T08:17:39.238+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729044.json to Snowflake stage
[2025-12-26T08:17:39.503+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729057.json to Snowflake stage
[2025-12-26T08:17:39.764+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729070.json to Snowflake stage
[2025-12-26T08:17:40.024+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729083.json to Snowflake stage
[2025-12-26T08:17:40.315+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729095.json to Snowflake stage
[2025-12-26T08:17:40.577+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729109.json to Snowflake stage
[2025-12-26T08:17:40.830+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729122.json to Snowflake stage
[2025-12-26T08:17:41.088+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729135.json to Snowflake stage
[2025-12-26T08:17:41.351+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729147.json to Snowflake stage
[2025-12-26T08:17:41.681+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729160.json to Snowflake stage
[2025-12-26T08:17:41.964+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766729172.json to Snowflake stage
