[2025-12-24T13:46:54.807+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-24T13:46:54.881+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-24T13:45:00+00:00 [queued]>
[2025-12-24T13:46:54.899+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-24T13:45:00+00:00 [queued]>
[2025-12-24T13:46:54.901+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-24T13:46:54.931+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-12-24 13:45:00+00:00
[2025-12-24T13:46:54.958+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-12-24T13:45:00+00:00', '--job-id', '149', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmptf0l3kse']
[2025-12-24T13:46:54.965+0000] {standard_task_runner.py:91} INFO - Job 149: Subtask download_minio
[2025-12-24T13:46:54.968+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=2631) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-24T13:46:54.970+0000] {standard_task_runner.py:64} INFO - Started process 2645 to run task
[2025-12-24T13:46:55.089+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-24T13:45:00+00:00 [running]> on host 31fa77be4c89
[2025-12-24T13:46:55.312+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-24T13:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-24T13:45:00+00:00'
[2025-12-24T13:46:55.314+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-24T13:46:57.172+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583258.json -> /tmp/minio_downloads/1766583258.json
[2025-12-24T13:46:57.213+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583273.json -> /tmp/minio_downloads/1766583273.json
[2025-12-24T13:46:57.237+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583286.json -> /tmp/minio_downloads/1766583286.json
[2025-12-24T13:46:57.263+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583299.json -> /tmp/minio_downloads/1766583299.json
[2025-12-24T13:46:57.292+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583313.json -> /tmp/minio_downloads/1766583313.json
[2025-12-24T13:46:57.325+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583326.json -> /tmp/minio_downloads/1766583326.json
[2025-12-24T13:46:57.352+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583339.json -> /tmp/minio_downloads/1766583339.json
[2025-12-24T13:46:57.376+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583352.json -> /tmp/minio_downloads/1766583352.json
[2025-12-24T13:46:57.400+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583365.json -> /tmp/minio_downloads/1766583365.json
[2025-12-24T13:46:57.425+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583378.json -> /tmp/minio_downloads/1766583378.json
[2025-12-24T13:46:57.445+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583391.json -> /tmp/minio_downloads/1766583391.json
[2025-12-24T13:46:57.466+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583405.json -> /tmp/minio_downloads/1766583405.json
[2025-12-24T13:46:57.486+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583419.json -> /tmp/minio_downloads/1766583419.json
[2025-12-24T13:46:57.512+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583434.json -> /tmp/minio_downloads/1766583434.json
[2025-12-24T13:46:57.540+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583447.json -> /tmp/minio_downloads/1766583447.json
[2025-12-24T13:46:57.569+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583459.json -> /tmp/minio_downloads/1766583459.json
[2025-12-24T13:46:57.590+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583472.json -> /tmp/minio_downloads/1766583472.json
[2025-12-24T13:46:57.619+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583485.json -> /tmp/minio_downloads/1766583485.json
[2025-12-24T13:46:57.642+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583498.json -> /tmp/minio_downloads/1766583498.json
[2025-12-24T13:46:57.664+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583511.json -> /tmp/minio_downloads/1766583511.json
[2025-12-24T13:46:57.687+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583524.json -> /tmp/minio_downloads/1766583524.json
[2025-12-24T13:46:57.705+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583538.json -> /tmp/minio_downloads/1766583538.json
[2025-12-24T13:46:57.725+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583551.json -> /tmp/minio_downloads/1766583551.json
[2025-12-24T13:46:57.747+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583564.json -> /tmp/minio_downloads/1766583564.json
[2025-12-24T13:46:57.769+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583577.json -> /tmp/minio_downloads/1766583577.json
[2025-12-24T13:46:57.790+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583592.json -> /tmp/minio_downloads/1766583592.json
[2025-12-24T13:46:57.815+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583607.json -> /tmp/minio_downloads/1766583607.json
[2025-12-24T13:46:57.848+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583621.json -> /tmp/minio_downloads/1766583621.json
[2025-12-24T13:46:57.868+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583634.json -> /tmp/minio_downloads/1766583634.json
[2025-12-24T13:46:57.889+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583648.json -> /tmp/minio_downloads/1766583648.json
[2025-12-24T13:46:57.919+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583660.json -> /tmp/minio_downloads/1766583660.json
[2025-12-24T13:46:57.940+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583674.json -> /tmp/minio_downloads/1766583674.json
[2025-12-24T13:46:57.959+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583687.json -> /tmp/minio_downloads/1766583687.json
[2025-12-24T13:46:57.980+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583701.json -> /tmp/minio_downloads/1766583701.json
[2025-12-24T13:46:57.999+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583714.json -> /tmp/minio_downloads/1766583714.json
[2025-12-24T13:46:58.019+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583727.json -> /tmp/minio_downloads/1766583727.json
[2025-12-24T13:46:58.042+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583741.json -> /tmp/minio_downloads/1766583741.json
[2025-12-24T13:46:58.062+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583755.json -> /tmp/minio_downloads/1766583755.json
[2025-12-24T13:46:58.082+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583768.json -> /tmp/minio_downloads/1766583768.json
[2025-12-24T13:46:58.105+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583782.json -> /tmp/minio_downloads/1766583782.json
[2025-12-24T13:46:58.152+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583795.json -> /tmp/minio_downloads/1766583795.json
[2025-12-24T13:46:58.188+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583809.json -> /tmp/minio_downloads/1766583809.json
[2025-12-24T13:46:58.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583822.json -> /tmp/minio_downloads/1766583822.json
[2025-12-24T13:46:58.254+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583837.json -> /tmp/minio_downloads/1766583837.json
[2025-12-24T13:46:58.283+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583850.json -> /tmp/minio_downloads/1766583850.json
[2025-12-24T13:46:58.306+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583863.json -> /tmp/minio_downloads/1766583863.json
[2025-12-24T13:46:58.328+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583876.json -> /tmp/minio_downloads/1766583876.json
[2025-12-24T13:46:58.352+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583888.json -> /tmp/minio_downloads/1766583888.json
[2025-12-24T13:46:58.376+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583901.json -> /tmp/minio_downloads/1766583901.json
[2025-12-24T13:46:58.403+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583914.json -> /tmp/minio_downloads/1766583914.json
[2025-12-24T13:46:58.433+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583927.json -> /tmp/minio_downloads/1766583927.json
[2025-12-24T13:46:58.460+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583940.json -> /tmp/minio_downloads/1766583940.json
[2025-12-24T13:46:58.481+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583954.json -> /tmp/minio_downloads/1766583954.json
[2025-12-24T13:46:58.510+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583967.json -> /tmp/minio_downloads/1766583967.json
[2025-12-24T13:46:58.544+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583981.json -> /tmp/minio_downloads/1766583981.json
[2025-12-24T13:46:58.566+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766583994.json -> /tmp/minio_downloads/1766583994.json
[2025-12-24T13:46:58.590+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766584007.json -> /tmp/minio_downloads/1766584007.json
[2025-12-24T13:46:58.615+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583266.json -> /tmp/minio_downloads/1766583266.json
[2025-12-24T13:46:58.638+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583278.json -> /tmp/minio_downloads/1766583278.json
[2025-12-24T13:46:58.663+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583292.json -> /tmp/minio_downloads/1766583292.json
[2025-12-24T13:46:58.688+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583305.json -> /tmp/minio_downloads/1766583305.json
[2025-12-24T13:46:58.714+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583318.json -> /tmp/minio_downloads/1766583318.json
[2025-12-24T13:46:58.741+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583332.json -> /tmp/minio_downloads/1766583332.json
[2025-12-24T13:46:58.767+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583345.json -> /tmp/minio_downloads/1766583345.json
[2025-12-24T13:46:58.789+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583358.json -> /tmp/minio_downloads/1766583358.json
[2025-12-24T13:46:58.814+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583371.json -> /tmp/minio_downloads/1766583371.json
[2025-12-24T13:46:58.839+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583384.json -> /tmp/minio_downloads/1766583384.json
[2025-12-24T13:46:58.874+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583398.json -> /tmp/minio_downloads/1766583398.json
[2025-12-24T13:46:58.895+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583411.json -> /tmp/minio_downloads/1766583411.json
[2025-12-24T13:46:58.918+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583426.json -> /tmp/minio_downloads/1766583426.json
[2025-12-24T13:46:58.945+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583439.json -> /tmp/minio_downloads/1766583439.json
[2025-12-24T13:46:58.976+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583452.json -> /tmp/minio_downloads/1766583452.json
[2025-12-24T13:46:59.005+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583464.json -> /tmp/minio_downloads/1766583464.json
[2025-12-24T13:46:59.032+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583477.json -> /tmp/minio_downloads/1766583477.json
[2025-12-24T13:46:59.057+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583491.json -> /tmp/minio_downloads/1766583491.json
[2025-12-24T13:46:59.089+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583503.json -> /tmp/minio_downloads/1766583503.json
[2025-12-24T13:46:59.116+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583517.json -> /tmp/minio_downloads/1766583517.json
[2025-12-24T13:46:59.145+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583530.json -> /tmp/minio_downloads/1766583530.json
[2025-12-24T13:46:59.173+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583543.json -> /tmp/minio_downloads/1766583543.json
[2025-12-24T13:46:59.203+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583556.json -> /tmp/minio_downloads/1766583556.json
[2025-12-24T13:46:59.230+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583570.json -> /tmp/minio_downloads/1766583570.json
[2025-12-24T13:46:59.250+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583584.json -> /tmp/minio_downloads/1766583584.json
[2025-12-24T13:46:59.275+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583599.json -> /tmp/minio_downloads/1766583599.json
[2025-12-24T13:46:59.304+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583613.json -> /tmp/minio_downloads/1766583613.json
[2025-12-24T13:46:59.328+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583626.json -> /tmp/minio_downloads/1766583626.json
[2025-12-24T13:46:59.356+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583640.json -> /tmp/minio_downloads/1766583640.json
[2025-12-24T13:46:59.382+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583653.json -> /tmp/minio_downloads/1766583653.json
[2025-12-24T13:46:59.407+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583666.json -> /tmp/minio_downloads/1766583666.json
[2025-12-24T13:46:59.440+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583680.json -> /tmp/minio_downloads/1766583680.json
[2025-12-24T13:46:59.471+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1766583694.json -> /tmp/minio_downloads/1766583694.json
