[2025-12-25T09:13:30.582+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-25T09:13:30.669+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-25T08:56:00+00:00 [queued]>
[2025-12-25T09:13:30.684+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-25T08:56:00+00:00 [queued]>
[2025-12-25T09:13:30.685+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-25T09:13:30.714+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-12-25 08:56:00+00:00
[2025-12-25T09:13:30.767+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=7380) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-25T09:13:30.757+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-12-25T08:56:00+00:00', '--job-id', '175', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpw6hfud36']
[2025-12-25T09:13:30.774+0000] {standard_task_runner.py:64} INFO - Started process 7395 to run task
[2025-12-25T09:13:30.774+0000] {standard_task_runner.py:91} INFO - Job 175: Subtask load_snowflake
[2025-12-25T09:13:30.976+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-25T08:56:00+00:00 [running]> on host f2efb562a677
[2025-12-25T09:13:31.232+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-25T08:56:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-25T08:56:00+00:00'
[2025-12-25T09:13:31.236+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-25T09:13:31.315+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-25T09:13:31.320+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-12-25T09:13:35.044+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766651912.json to Snowflake stage
[2025-12-25T09:13:35.333+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766651923.json to Snowflake stage
[2025-12-25T09:13:35.782+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766651935.json to Snowflake stage
[2025-12-25T09:13:36.099+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766651947.json to Snowflake stage
[2025-12-25T09:13:36.413+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766651959.json to Snowflake stage
[2025-12-25T09:13:36.706+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766651972.json to Snowflake stage
[2025-12-25T09:13:37.062+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766651985.json to Snowflake stage
[2025-12-25T09:13:37.536+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766651996.json to Snowflake stage
[2025-12-25T09:13:37.860+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652008.json to Snowflake stage
[2025-12-25T09:13:38.291+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652020.json to Snowflake stage
[2025-12-25T09:13:38.616+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652032.json to Snowflake stage
[2025-12-25T09:13:38.967+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652044.json to Snowflake stage
[2025-12-25T09:13:39.242+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652056.json to Snowflake stage
[2025-12-25T09:13:39.561+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652067.json to Snowflake stage
[2025-12-25T09:13:39.912+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652079.json to Snowflake stage
[2025-12-25T09:13:40.192+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652091.json to Snowflake stage
[2025-12-25T09:13:40.597+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652104.json to Snowflake stage
[2025-12-25T09:13:40.988+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652116.json to Snowflake stage
[2025-12-25T09:13:41.547+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652128.json to Snowflake stage
[2025-12-25T09:13:41.895+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652140.json to Snowflake stage
[2025-12-25T09:13:42.243+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766652153.json to Snowflake stage
