[2025-12-25T15:20:00.867+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-25T15:20:00.943+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-25T15:17:00+00:00 [queued]>
[2025-12-25T15:20:00.958+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-25T15:17:00+00:00 [queued]>
[2025-12-25T15:20:00.963+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-25T15:20:00.985+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-12-25 15:17:00+00:00
[2025-12-25T15:20:01.019+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-12-25T15:17:00+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp662uwcp4']
[2025-12-25T15:20:01.025+0000] {standard_task_runner.py:91} INFO - Job 11: Subtask download_minio
[2025-12-25T15:20:01.026+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1675) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-25T15:20:01.028+0000] {standard_task_runner.py:64} INFO - Started process 1689 to run task
[2025-12-25T15:20:01.145+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-25T15:17:00+00:00 [running]> on host 507725cbaced
[2025-12-25T15:20:01.340+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-25T15:17:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-25T15:17:00+00:00'
[2025-12-25T15:20:01.342+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-25T15:20:03.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675270.json -> /tmp/minio_downloads/1766675270.json
[2025-12-25T15:20:03.254+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675282.json -> /tmp/minio_downloads/1766675282.json
[2025-12-25T15:20:03.280+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675294.json -> /tmp/minio_downloads/1766675294.json
[2025-12-25T15:20:03.307+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675306.json -> /tmp/minio_downloads/1766675306.json
[2025-12-25T15:20:03.334+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675318.json -> /tmp/minio_downloads/1766675318.json
[2025-12-25T15:20:03.369+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675330.json -> /tmp/minio_downloads/1766675330.json
[2025-12-25T15:20:03.395+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675342.json -> /tmp/minio_downloads/1766675342.json
[2025-12-25T15:20:03.430+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675354.json -> /tmp/minio_downloads/1766675354.json
[2025-12-25T15:20:03.456+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675366.json -> /tmp/minio_downloads/1766675366.json
[2025-12-25T15:20:03.482+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675378.json -> /tmp/minio_downloads/1766675378.json
[2025-12-25T15:20:03.502+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675390.json -> /tmp/minio_downloads/1766675390.json
[2025-12-25T15:20:03.518+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766675404.json -> /tmp/minio_downloads/1766675404.json
