[2025-12-25T08:48:28.832+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-25T08:48:28.884+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-25T08:47:00+00:00 [queued]>
[2025-12-25T08:48:28.896+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-25T08:47:00+00:00 [queued]>
[2025-12-25T08:48:28.897+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-25T08:48:28.921+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-12-25 08:47:00+00:00
[2025-12-25T08:48:28.948+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-12-25T08:47:00+00:00', '--job-id', '162', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp2cezio0c']
[2025-12-25T08:48:28.956+0000] {standard_task_runner.py:91} INFO - Job 162: Subtask download_minio
[2025-12-25T08:48:28.957+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=650) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-25T08:48:28.959+0000] {standard_task_runner.py:64} INFO - Started process 664 to run task
[2025-12-25T08:48:29.064+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-25T08:47:00+00:00 [running]> on host f2efb562a677
[2025-12-25T08:48:29.240+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-25T08:47:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-25T08:47:00+00:00'
[2025-12-25T08:48:29.243+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-25T08:48:30.515+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766651912.json -> /tmp/minio_downloads/1766651912.json
[2025-12-25T08:48:30.534+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766651923.json -> /tmp/minio_downloads/1766651923.json
[2025-12-25T08:48:30.550+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766651935.json -> /tmp/minio_downloads/1766651935.json
[2025-12-25T08:48:30.564+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766651947.json -> /tmp/minio_downloads/1766651947.json
[2025-12-25T08:48:30.581+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766651959.json -> /tmp/minio_downloads/1766651959.json
[2025-12-25T08:48:30.594+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766651972.json -> /tmp/minio_downloads/1766651972.json
[2025-12-25T08:48:30.609+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766651985.json -> /tmp/minio_downloads/1766651985.json
[2025-12-25T08:48:30.622+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766651996.json -> /tmp/minio_downloads/1766651996.json
[2025-12-25T08:48:30.635+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652008.json -> /tmp/minio_downloads/1766652008.json
[2025-12-25T08:48:30.649+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652020.json -> /tmp/minio_downloads/1766652020.json
[2025-12-25T08:48:30.663+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652032.json -> /tmp/minio_downloads/1766652032.json
[2025-12-25T08:48:30.676+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652044.json -> /tmp/minio_downloads/1766652044.json
[2025-12-25T08:48:30.689+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652056.json -> /tmp/minio_downloads/1766652056.json
[2025-12-25T08:48:30.702+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652067.json -> /tmp/minio_downloads/1766652067.json
[2025-12-25T08:48:30.715+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652079.json -> /tmp/minio_downloads/1766652079.json
[2025-12-25T08:48:30.728+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652091.json -> /tmp/minio_downloads/1766652091.json
[2025-12-25T08:48:30.744+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652104.json -> /tmp/minio_downloads/1766652104.json
[2025-12-25T08:48:30.757+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652116.json -> /tmp/minio_downloads/1766652116.json
[2025-12-25T08:48:30.769+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652128.json -> /tmp/minio_downloads/1766652128.json
[2025-12-25T08:48:30.782+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652140.json -> /tmp/minio_downloads/1766652140.json
[2025-12-25T08:48:30.794+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652153.json -> /tmp/minio_downloads/1766652153.json
[2025-12-25T08:48:30.807+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652164.json -> /tmp/minio_downloads/1766652164.json
[2025-12-25T08:48:30.819+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652176.json -> /tmp/minio_downloads/1766652176.json
[2025-12-25T08:48:30.832+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652188.json -> /tmp/minio_downloads/1766652188.json
[2025-12-25T08:48:30.844+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652200.json -> /tmp/minio_downloads/1766652200.json
[2025-12-25T08:48:30.857+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652213.json -> /tmp/minio_downloads/1766652213.json
[2025-12-25T08:48:30.871+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652224.json -> /tmp/minio_downloads/1766652224.json
[2025-12-25T08:48:30.885+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652236.json -> /tmp/minio_downloads/1766652236.json
[2025-12-25T08:48:30.900+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652248.json -> /tmp/minio_downloads/1766652248.json
[2025-12-25T08:48:30.916+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652260.json -> /tmp/minio_downloads/1766652260.json
[2025-12-25T08:48:30.930+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652272.json -> /tmp/minio_downloads/1766652272.json
[2025-12-25T08:48:30.943+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652284.json -> /tmp/minio_downloads/1766652284.json
[2025-12-25T08:48:30.956+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766652296.json -> /tmp/minio_downloads/1766652296.json
