[2025-12-23T08:16:32.671+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-23T08:16:32.724+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-23T08:09:00+00:00 [queued]>
[2025-12-23T08:16:32.737+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-23T08:09:00+00:00 [queued]>
[2025-12-23T08:16:32.739+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-23T08:16:32.761+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-12-23 08:09:00+00:00
[2025-12-23T08:16:32.782+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-12-23T08:09:00+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpbtj7xshg']
[2025-12-23T08:16:32.788+0000] {standard_task_runner.py:91} INFO - Job 12: Subtask load_snowflake
[2025-12-23T08:16:32.790+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=10436) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-23T08:16:32.791+0000] {standard_task_runner.py:64} INFO - Started process 10450 to run task
[2025-12-23T08:16:32.892+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-23T08:09:00+00:00 [running]> on host f22d932714c9
[2025-12-23T08:16:33.061+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-23T08:09:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-23T08:09:00+00:00'
[2025-12-23T08:16:33.063+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-23T08:16:33.112+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-23T08:16:33.115+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-12-23T08:16:35.438+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471089.json to Snowflake stage
[2025-12-23T08:16:35.694+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471102.json to Snowflake stage
[2025-12-23T08:16:35.950+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471114.json to Snowflake stage
[2025-12-23T08:16:36.202+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471126.json to Snowflake stage
[2025-12-23T08:16:36.484+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471138.json to Snowflake stage
[2025-12-23T08:16:36.759+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471151.json to Snowflake stage
[2025-12-23T08:16:37.006+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471163.json to Snowflake stage
[2025-12-23T08:16:37.254+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471175.json to Snowflake stage
[2025-12-23T08:16:37.519+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471187.json to Snowflake stage
[2025-12-23T08:16:37.763+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471199.json to Snowflake stage
[2025-12-23T08:16:38.010+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471211.json to Snowflake stage
[2025-12-23T08:16:38.260+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471224.json to Snowflake stage
[2025-12-23T08:16:38.509+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766471236.json to Snowflake stage
