[2025-12-26T07:17:36.843+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-26T07:17:36.910+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-26T07:16:00+00:00 [queued]>
[2025-12-26T07:17:36.931+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-26T07:16:00+00:00 [queued]>
[2025-12-26T07:17:36.933+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-26T07:17:36.958+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-12-26 07:16:00+00:00
[2025-12-26T07:17:36.981+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-12-26T07:16:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpkz06te0d']
[2025-12-26T07:17:36.988+0000] {standard_task_runner.py:91} INFO - Job 35: Subtask download_minio
[2025-12-26T07:17:36.989+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=20704) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-26T07:17:36.990+0000] {standard_task_runner.py:64} INFO - Started process 20718 to run task
[2025-12-26T07:17:37.101+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-26T07:16:00+00:00 [running]> on host 3fb2a1a27553
[2025-12-26T07:17:37.269+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-26T07:16:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-26T07:16:00+00:00'
[2025-12-26T07:17:37.272+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-26T07:17:41.684+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728889.json -> /tmp/minio_downloads/1766728889.json
[2025-12-26T07:17:41.712+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728900.json -> /tmp/minio_downloads/1766728900.json
[2025-12-26T07:17:41.748+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728911.json -> /tmp/minio_downloads/1766728911.json
[2025-12-26T07:17:41.780+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728923.json -> /tmp/minio_downloads/1766728923.json
[2025-12-26T07:17:41.809+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728935.json -> /tmp/minio_downloads/1766728935.json
[2025-12-26T07:17:41.839+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728947.json -> /tmp/minio_downloads/1766728947.json
[2025-12-26T07:17:41.867+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728960.json -> /tmp/minio_downloads/1766728960.json
[2025-12-26T07:17:41.895+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728972.json -> /tmp/minio_downloads/1766728972.json
[2025-12-26T07:17:41.926+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728984.json -> /tmp/minio_downloads/1766728984.json
[2025-12-26T07:17:41.950+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728995.json -> /tmp/minio_downloads/1766728995.json
[2025-12-26T07:17:41.985+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729007.json -> /tmp/minio_downloads/1766729007.json
[2025-12-26T07:17:42.022+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729020.json -> /tmp/minio_downloads/1766729020.json
[2025-12-26T07:17:42.060+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729032.json -> /tmp/minio_downloads/1766729032.json
[2025-12-26T07:17:42.096+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729044.json -> /tmp/minio_downloads/1766729044.json
[2025-12-26T07:17:42.131+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729057.json -> /tmp/minio_downloads/1766729057.json
[2025-12-26T07:17:42.175+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729070.json -> /tmp/minio_downloads/1766729070.json
[2025-12-26T07:17:42.207+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729083.json -> /tmp/minio_downloads/1766729083.json
[2025-12-26T07:17:42.237+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729095.json -> /tmp/minio_downloads/1766729095.json
[2025-12-26T07:17:42.269+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729109.json -> /tmp/minio_downloads/1766729109.json
[2025-12-26T07:17:42.297+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729122.json -> /tmp/minio_downloads/1766729122.json
[2025-12-26T07:17:42.327+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729135.json -> /tmp/minio_downloads/1766729135.json
[2025-12-26T07:17:42.356+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729147.json -> /tmp/minio_downloads/1766729147.json
[2025-12-26T07:17:42.623+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729160.json -> /tmp/minio_downloads/1766729160.json
[2025-12-26T07:17:42.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729172.json -> /tmp/minio_downloads/1766729172.json
[2025-12-26T07:17:42.980+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729185.json -> /tmp/minio_downloads/1766729185.json
[2025-12-26T07:17:43.017+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729199.json -> /tmp/minio_downloads/1766729199.json
[2025-12-26T07:17:43.056+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729212.json -> /tmp/minio_downloads/1766729212.json
[2025-12-26T07:17:43.101+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729225.json -> /tmp/minio_downloads/1766729225.json
[2025-12-26T07:17:43.148+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729238.json -> /tmp/minio_downloads/1766729238.json
[2025-12-26T07:17:43.201+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729250.json -> /tmp/minio_downloads/1766729250.json
[2025-12-26T07:17:43.263+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729263.json -> /tmp/minio_downloads/1766729263.json
[2025-12-26T07:17:43.314+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729277.json -> /tmp/minio_downloads/1766729277.json
[2025-12-26T07:17:43.370+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729289.json -> /tmp/minio_downloads/1766729289.json
[2025-12-26T07:17:43.433+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729301.json -> /tmp/minio_downloads/1766729301.json
[2025-12-26T07:17:43.493+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729313.json -> /tmp/minio_downloads/1766729313.json
[2025-12-26T07:17:43.534+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729326.json -> /tmp/minio_downloads/1766729326.json
[2025-12-26T07:17:43.577+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729338.json -> /tmp/minio_downloads/1766729338.json
[2025-12-26T07:17:43.635+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729351.json -> /tmp/minio_downloads/1766729351.json
[2025-12-26T07:17:43.663+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729363.json -> /tmp/minio_downloads/1766729363.json
[2025-12-26T07:17:43.698+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729376.json -> /tmp/minio_downloads/1766729376.json
[2025-12-26T07:17:43.731+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729388.json -> /tmp/minio_downloads/1766729388.json
[2025-12-26T07:17:43.771+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729401.json -> /tmp/minio_downloads/1766729401.json
[2025-12-26T07:17:43.804+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729413.json -> /tmp/minio_downloads/1766729413.json
[2025-12-26T07:17:43.838+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729425.json -> /tmp/minio_downloads/1766729425.json
[2025-12-26T07:17:43.895+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729438.json -> /tmp/minio_downloads/1766729438.json
[2025-12-26T07:17:43.959+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766729450.json -> /tmp/minio_downloads/1766729450.json
